service,scope,config,pattern,run_id,duration_seconds,p95_ms,error_rate,avg_rps,http_reqs_total,dropped_iterations,max_replicas,max_ready_replicas,scaling_changes,cost_musd,latency_capped,foreign_k6_job_count,foreign_k6_jobs,early_ready_contamination
product-service,exploratory,b1,gradual,product-service_b1_gradual_rep1,1322,37180.0,88.03,28.800577,21562.0,55837,1.0,1.0,0,3.583333333333333,False,0,,False
product-service,exploratory,b1,spike,product-service_b1_spike_rep1,1324,36430.0,87.97,29.228702,21891.0,81608,1.0,1.0,0,3.583333333333333,False,1,k6-load-test-gradual-product-service-b1-gradual-rep1,False
product-service,exploratory,b1,oscillating,product-service_b1_oscillating_rep1,1322,33090.0,87.1,27.143883,20358.0,50717,1.0,1.0,0,3.583333333333333,False,2,k6-load-test-gradual-product-service-b1-gradual-rep1;k6-load-test-spike-product-service-b1-spike-rep1,False
product-service,exploratory,b2,gradual,product-service_b2_gradual_rep1,1338,58990.0,95.73,25.251827,18939.0,58396,5.0,5.0,1,17.82708333333333,False,2,k6-load-test-oscillating-product-service-b1-oscillating-rep1;k6-load-test-spike-product-service-b1-spike-rep1,False
product-service,exploratory,b2,spike,product-service_b2_spike_rep1,1336,59990.0,94.86,25.643793,19233.0,84171,5.0,5.0,1,17.82708333333333,False,2,k6-load-test-gradual-product-service-b2-gradual-rep1;k6-load-test-oscillating-product-service-b1-oscillating-rep1,False
product-service,exploratory,b2,oscillating,product-service_b2_oscillating_rep1,1336,49380.0,96.05,24.545138,18409.0,52600,5.0,5.0,1,17.82708333333333,False,2,k6-load-test-gradual-product-service-b2-gradual-rep1;k6-load-test-spike-product-service-b2-spike-rep1,False
product-service,exploratory,h1,gradual,product-service_h1_gradual_rep1,1323,36590.0,88.05,28.987765,21576.0,55823,1.0,1.0,0,3.583333333333333,False,2,k6-load-test-oscillating-product-service-b2-oscillating-rep1;k6-load-test-spike-product-service-b2-spike-rep1,False
product-service,exploratory,h1,spike,product-service_h1_spike_rep1,1324,36430.0,88.26,29.439367,21867.0,81632,1.0,1.0,0,3.583333333333333,False,2,k6-load-test-gradual-product-service-h1-gradual-rep1;k6-load-test-oscillating-product-service-b2-oscillating-rep1,False
product-service,exploratory,h1,oscillating,product-service_h1_oscillating_rep1,1323,34280.0,87.13,27.133751,20330.0,50769,1.0,1.0,0,3.583333333333333,False,2,k6-load-test-gradual-product-service-h1-gradual-rep1;k6-load-test-spike-product-service-h1-spike-rep1,False
product-service,exploratory,h2,gradual,product-service_h2_gradual_rep1,1323,36730.0,88.05,29.008646,21587.0,55812,1.0,1.0,0,3.583333333333333,False,2,k6-load-test-oscillating-product-service-h1-oscillating-rep1;k6-load-test-spike-product-service-h1-spike-rep1,False
product-service,exploratory,h2,spike,product-service_h2_spike_rep1,1324,35200.0,88.11,29.586269,21982.0,81517,1.0,1.0,0,3.583333333333333,False,2,k6-load-test-gradual-product-service-h2-gradual-rep1;k6-load-test-oscillating-product-service-h1-oscillating-rep1,False
product-service,exploratory,h2,oscillating,product-service_h2_oscillating_rep1,1325,31690.0,87.38,27.670559,20753.0,50320,1.0,1.0,0,3.583333333333333,False,2,k6-load-test-gradual-product-service-h2-gradual-rep1;k6-load-test-spike-product-service-h2-spike-rep1,False
product-service,exploratory,h3,gradual,product-service_h3_gradual_rep1,1322,59990.0,92.64,26.096944,19566.0,57833,5.0,5.0,7,11.511458333333332,False,2,k6-load-test-oscillating-product-service-h2-oscillating-rep1;k6-load-test-spike-product-service-h2-spike-rep1,False
product-service,exploratory,h3,spike,product-service_h3_spike_rep1,1322,48500.0,92.5,27.55049,20663.0,82762,5.0,5.0,23,8.510416666666666,False,2,k6-load-test-gradual-product-service-h3-gradual-rep1;k6-load-test-oscillating-product-service-h2-oscillating-rep1,False
product-service,exploratory,h3,oscillating,product-service_h3_oscillating_rep1,1323,44680.0,89.0,25.09857,18824.0,52233,5.0,5.0,17,7.524999999999999,False,2,k6-load-test-gradual-product-service-h3-gradual-rep1;k6-load-test-spike-product-service-h3-spike-rep1,False
product-service,exploratory,k1,gradual,product-service_k1_gradual_rep1,1326,59990.0,93.1,26.197136,19648.0,57704,5.0,5.0,6,14.915624999999999,False,2,k6-load-test-oscillating-product-service-h3-oscillating-rep1;k6-load-test-spike-product-service-h3-spike-rep1,False
product-service,exploratory,k1,spike,product-service_k1_spike_rep1,1383,59990.0,92.92,25.782503,19337.0,84090,5.0,5.0,4,14.512499999999998,False,2,k6-load-test-gradual-product-service-k1-gradual-rep1;k6-load-test-oscillating-product-service-h3-oscillating-rep1,False
product-service,exploratory,k1,oscillating,product-service_k1_oscillating_rep1,1382,59990.0,92.54,24.026513,18020.0,53004,5.0,5.0,4,14.534895833333332,False,2,k6-load-test-gradual-product-service-k1-gradual-rep1;k6-load-test-spike-product-service-k1-spike-rep1,False
